2015-10-12 23:22:43,071 [Worker-453] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:22:59,651 [Worker-450] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:22:59,653 [Worker-450] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:22:59,654 [Worker-450] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:22:59,655 [Worker-450] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:23:12,297 [Worker-452] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:23:12,298 [Worker-452] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:23:12,299 [Worker-452] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:23:12,300 [Worker-452] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:23:28,777 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:23:28,777 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:23:28,778 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:23:28,779 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:23:43,635 [Worker-454] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:23:43,636 [Worker-454] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:23:43,638 [Worker-454] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:23:43,638 [Worker-454] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:23:54,995 [Worker-454] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:23:54,995 [Worker-454] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:23:54,996 [Worker-454] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:23:54,997 [Worker-454] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:24:27,385 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:24:27,387 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:24:27,388 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:24:27,389 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:24:33,479 [Worker-452] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:24:33,482 [Worker-452] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:24:33,483 [Worker-452] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
